transcript_id,13_S31_R1_001.bam.gtf,23_S32_R1_001.bam.gtf,35_S33_R1_001.bam.gtf,52_S34_R1_001.bam.gtf,60_S35_R1_001.bam.gtf,72_S36_R1_001.bam.gtf,85_S37_R1_001.bam.gtf,9_S30_R1_001.bam.gtf
Montipora_capitata_HIv3___TS.g23982.t1,2,0,4,4,12,27,13,0
Montipora_capitata_HIv3___TS.g26496.t1,0,0,0,0,8,4,0,8
Montipora_capitata_HIv3___TS.g43294.t1,0,3,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g23054.t1,1045,1928,620,807,918,466,165,1476
Montipora_capitata_HIv3___RNAseq.g8206.t1,5,22,1,10,25,0,5,24
Montipora_capitata_HIv3___RNAseq.g687.t1,3,2,0,4,7,0,3,0
Montipora_capitata_HIv3___RNAseq.g36841.t1,198,449,110,533,431,510,361,384
Montipora_capitata_HIv3___RNAseq.g38554.t1,0,0,0,14,5,6,4,0
Montipora_capitata_HIv3___TS.g39513.t1,0,1,0,2,1,1,0,0
Montipora_capitata_HIv3___RNAseq.g1274.t1,0,0,4,4,22,9,7,0
Montipora_capitata_HIv3___TS.g41915.t1,0,1,8,9,6,6,0,0
Montipora_capitata_HIv3___RNAseq.g47915.t1,0,0,0,0,4,0,0,0
Montipora_capitata_HIv3___RNAseq.g6233.t1,0,0,0,0,5,0,1,0
Montipora_capitata_HIv3___RNAseq.g18748.t1,0,3,0,32,28,9,26,0
Montipora_capitata_HIv3___RNAseq.g16718.t1,24,25,4,0,21,21,34,44
Montipora_capitata_HIv3___RNAseq.g41943.t1,0,2,3,26,14,35,18,2
Montipora_capitata_HIv3___TS.g39258.t1,0,0,0,2,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g48174.t1,0,0,0,0,0,3,0,0
Montipora_capitata_HIv3___RNAseq.g25449.t1,0,22,15,6,35,7,11,18
Montipora_capitata_HIv3___RNAseq.g15942.t1,1930,5977,2590,1857,2078,1867,1267,4998
Montipora_capitata_HIv3___TS.g19662.t1,1,3,6,6,4,12,10,0
Montipora_capitata_HIv3___RNAseq.g9092.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g34166.t1,0,0,4,9,33,52,48,0
Montipora_capitata_HIv3___RNAseq.g36999.t1,27,97,2315,21273,20125,11559,8559,30
Montipora_capitata_HIv3___TS.g39511.t1,0,1,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g41150.t1,0,0,0,0,5,0,9,0
Montipora_capitata_HIv3___TS.g17921.t1,0,0,1,30,14,2,14,3
Montipora_capitata_HIv3___RNAseq.g42583.t1,0,0,0,0,3,9,0,0
Montipora_capitata_HIv3___RNAseq.g23806.t1,0,3,3,3,11,18,0,0
Montipora_capitata_HIv3___RNAseq.g33488.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g41299.t1,0,6,3,0,4,0,8,0
Montipora_capitata_HIv3___RNAseq.g16550.t1,0,0,0,0,5,0,0,2
Montipora_capitata_HIv3___TS.g13272.t1,88,313,122,225,66,26,13,186
Montipora_capitata_HIv3___TS.g7970.t2,2735,6328,3408,6584,5368,3672,2290,6262
Montipora_capitata_HIv3___RNAseq.g19909.t1,923,2545,892,2678,2393,1404,1054,1683
Montipora_capitata_HIv3___RNAseq.g1725.t1,0,0,3,4,0,18,14,0
Montipora_capitata_HIv3___RNAseq.g26655.t1,0,0,0,0,14,0,3,0
Montipora_capitata_HIv3___RNAseq.g21161.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g6891.t1,0,0,0,0,3,0,0,0
Montipora_capitata_HIv3___RNAseq.g7119.t1,0,0,0,0,0,5,0,0
Montipora_capitata_HIv3___RNAseq.g33812.t1,0,2,2,0,3,1,2,0
Montipora_capitata_HIv3___RNAseq.g9512.t1,321,566,75,1356,1786,1259,777,549
Montipora_capitata_HIv3___RNAseq.g41686.t1,4,0,6,3,10,34,22,0
Montipora_capitata_HIv3___TS.g4789.t1,0,5,5,3,10,20,9,1
Montipora_capitata_HIv3___RNAseq.g6231.t1,16,25,67,328,320,207,100,42
Montipora_capitata_HIv3___RNAseq.g34302.t1,26,51,7,13,11,45,20,51
Montipora_capitata_HIv3___RNAseq.g32618.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g38158.t1,0,5,3,5,10,13,19,0
Montipora_capitata_HIv3___TS.g20207.t1,1,0,0,1,1,0,1,0
Montipora_capitata_HIv3___RNAseq.g19968.t1,445,986,187,289,458,1511,1715,1012
Montipora_capitata_HIv3___RNAseq.g47917.t1,0,0,0,0,1,0,0,0
Montipora_capitata_HIv3___RNAseq.g20486.t1,0,0,0,0,0,0,4,0
Montipora_capitata_HIv3___RNAseq.g11023.t1,0,0,0,4,12,7,1,0
Montipora_capitata_HIv3___RNAseq.g24692.t1,2,28,25,50,64,50,30,0
Montipora_capitata_HIv3___RNAseq.g47262.t1,14,87,15,12,17,20,20,54
Montipora_capitata_HIv3___RNAseq.g20634.t1,992,3481,2387,2338,2019,1193,998,2564
Montipora_capitata_HIv3___RNAseq.g47848.t1,0,0,0,0,15,0,1,3
Montipora_capitata_HIv3___RNAseq.42542_t,0,0,0,0,0,22,51,0
Montipora_capitata_HIv3___TS.g38124.t1,351,687,540,1354,1497,1628,603,457
Montipora_capitata_HIv3___RNAseq.g21163.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g9640.t1,272,1044,1839,6452,5327,1845,1495,708
Montipora_capitata_HIv3___RNAseq.g10888.t1,0,0,0,0,0,4,0,0
Montipora_capitata_HIv3___RNAseq.g31864.t1,0,0,0,0,0,5,4,0
Montipora_capitata_HIv3___RNAseq.g18279.t1a,0,0,97,732,448,97,132,0
Montipora_capitata_HIv3___RNAseq.g44660.t1,0,3,0,0,6,0,4,0
Montipora_capitata_HIv3___RNAseq.g49243.t1,0,0,3,0,0,5,0,0
Montipora_capitata_HIv3___RNAseq.g18279.t1b,0,0,0,0,0,16,0,0
Montipora_capitata_HIv3___RNAseq.g2970.t1a,0,1,5,16,21,22,6,0
Montipora_capitata_HIv3___TS.g42640.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g37069.t1,756,3900,1818,1240,1258,783,390,2234
Montipora_capitata_HIv3___RNAseq.g2970.t1b,0,0,0,0,3,0,0,0
Montipora_capitata_HIv3___RNAseq.g22387.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g16466.t1,108,68,43,37,33,74,153,74
Montipora_capitata_HIv3___RNAseq.g8038.t1,0,3,20,59,60,138,148,2
Montipora_capitata_HIv3___RNAseq.g49214.t1,0,0,0,0,0,6,0,0
Montipora_capitata_HIv3___RNAseq.g49058.t1,0,0,0,0,13,11,2,0
Montipora_capitata_HIv3___TS.g21730.t1,3,7,31,333,457,246,211,8
Montipora_capitata_HIv3___TS.g10940.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g228.t1,0,0,7,4,6,17,14,0
Montipora_capitata_HIv3___RNAseq.g30129.t1,120,616,203,628,713,622,561,473
Montipora_capitata_HIv3___RNAseq.g12823.t1,1264,2352,749,923,1455,1337,702,1927
Montipora_capitata_HIv3___RNAseq.g12140.t1,0,0,0,0,0,7,24,0
Montipora_capitata_HIv3___RNAseq.g12129.t1,0,20,0,14,23,6,11,0
Montipora_capitata_HIv3___TS.g40263.t1,0,0,0,0,0,7,0,0
Montipora_capitata_HIv3___TS.g37064.t1,0,0,0,4,9,8,2,0
Montipora_capitata_HIv3___RNAseq.g37621.t1,124,155,59,149,131,84,70,238
Montipora_capitata_HIv3___RNAseq.g48200.t1,1126,2249,343,943,1123,757,493,1882
Montipora_capitata_HIv3___RNAseq.g50406.t1,0,0,3,2,5,3,0,0
Montipora_capitata_HIv3___RNAseq.g1727.t1,0,0,0,0,3,4,6,0
Montipora_capitata_HIv3___RNAseq.g35908.t1,0,5,0,0,1,3,0,5
Montipora_capitata_HIv3___RNAseq.g45417.t1,8,45,105,203,194,122,95,45
Montipora_capitata_HIv3___TS.g13270.t1,231,469,304,234,123,19,20,421
Montipora_capitata_HIv3___TS.g31312.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g16540.t1,654,1346,186,30,58,20,19,1152
Montipora_capitata_HIv3___RNAseq.g16464.t1,51,109,16,52,79,71,42,130
Montipora_capitata_HIv3___RNAseq.g22323.t1,0,0,0,6,6,5,0,0
Montipora_capitata_HIv3___RNAseq.39533_t,0,0,0,15,22,27,11,7
Montipora_capitata_HIv3___TS.g14604.t1,37,129,217,430,528,511,203,63
Montipora_capitata_HIv3___RNAseq.g15798.t1,0,7,7,11,12,40,14,0
Montipora_capitata_HIv3___RNAseq.g12806.t1,0,0,90,800,922,1082,601,0
Montipora_capitata_HIv3___RNAseq.g32070.t2,0,0,0,43,52,42,20,0
Montipora_capitata_HIv3___RNAseq.g35286.t1,454,1912,1370,2421,2221,965,617,1826
Montipora_capitata_HIv3___TS.g36074.t1,0,0,0,0,3,19,3,1
Montipora_capitata_HIv3___TS.g30877.t1,0,0,0,19,16,4,5,0
Montipora_capitata_HIv3___RNAseq.g16376.t1,0,5,0,6,0,0,4,0
Montipora_capitata_HIv3___RNAseq.g40738.t1,0,1,19,9,15,33,81,0
Montipora_capitata_HIv3___RNAseq.g22632.t1,2,3,0,4,9,3,7,0
Montipora_capitata_HIv3___RNAseq.g14614.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g5848.t1,0,2,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g45415.t1,1246,1551,2792,8166,9041,7052,5739,1864
Montipora_capitata_HIv3___RNAseq.g1134.t1a,44,131,94,183,234,360,542,136
Montipora_capitata_HIv3___RNAseq.g1134.t1b,32,35,51,80,129,176,340,22
Montipora_capitata_HIv3___TS.g49915.t1,0,0,0,0,6,0,0,0
Montipora_capitata_HIv3___RNAseq.g3308.t1,992,1883,403,686,616,543,367,1880
Montipora_capitata_HIv3___TS.g37066.t1,0,0,4,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g23849.t1,0,0,0,0,10,9,3,0
Montipora_capitata_HIv3___RNAseq.g15730.t1,40,188,74,108,41,26,46,78
Montipora_capitata_HIv3___TS.g10804.t1,0,0,1,0,2,6,0,0
Montipora_capitata_HIv3___RNAseq.g1520.t1,0,7,4,0,0,0,6,0
Montipora_capitata_HIv3___RNAseq.g44048.t1,310,692,161,115,105,107,160,459
Montipora_capitata_HIv3___RNAseq.g36479.t1,0,1,7,10,10,21,14,0
Montipora_capitata_HIv3___RNAseq.g30899.t1,177,464,187,374,337,270,227,467
Montipora_capitata_HIv3___RNAseq.g31860.t1,0,3,0,14,6,11,0,2
Montipora_capitata_HIv3___TS.g48144.t1,0,0,6,14,12,23,9,0
Montipora_capitata_HIv3___RNAseq.g16374.t1,2,6,10,6,16,6,9,3
Montipora_capitata_HIv3___RNAseq.g26226.t1,5,49,299,273,332,560,240,14
Montipora_capitata_HIv3___RNAseq.g7919.t1,1,3,2,14,5,26,13,2
Montipora_capitata_HIv3___RNAseq.g12821.t1,58,371,81,434,395,141,91,276
Montipora_capitata_HIv3___RNAseq.g23813.t1,0,0,0,13,13,23,17,0
Montipora_capitata_HIv3___RNAseq.g5414.t1,60,337,235,126,106,4,0,273
Montipora_capitata_HIv3___RNAseq.g35778.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g49075.t1,7,2,0,0,7,0,0,0
Montipora_capitata_HIv3___RNAseq.g41862.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g6581.t1,1106,4974,2207,2230,1541,1126,765,4102
Montipora_capitata_HIv3___RNAseq.g16651.t1,0,0,0,2,2,5,2,0
Montipora_capitata_HIv3___RNAseq.g25533.t1,0,0,0,4,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g2325.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g18328.t1,127,298,255,1920,1659,1926,1263,231
Montipora_capitata_HIv3___RNAseq.g31716.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g11283.t1b,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g23774.t1,0,5,0,10,16,11,32,0
Montipora_capitata_HIv3___TS.g11283.t1a,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g6888.t1,1,0,0,5,7,1,5,0
Montipora_capitata_HIv3___TS.g33549.t1,0,0,0,9,0,12,0,0
Montipora_capitata_HIv3___RNAseq.g39921.t1,0,0,0,8,2,4,8,0
Montipora_capitata_HIv3___TS.g10285.t1,0,2,3,0,0,0,6,5
Montipora_capitata_HIv3___RNAseq.g39430.t1,0,0,0,0,0,0,1,0
Montipora_capitata_HIv3___TS.g24150.t1,0,3,0,10,0,0,0,1
Montipora_capitata_HIv3___RNAseq.g50615.t1,0,0,1,5,0,8,3,0
Montipora_capitata_HIv3___RNAseq.g3299.t1,50,161,88,350,425,310,125,111
Montipora_capitata_HIv3___TS.g23217.t1,604,1196,494,1417,1251,814,372,882
Montipora_capitata_HIv3___RNAseq.g22321.t1,0,4,20,19,34,30,15,0
Montipora_capitata_HIv3___RNAseq.g36898.t1,43,115,113,445,365,213,107,121
Montipora_capitata_HIv3___RNAseq.g24240.t1,0,28,46,132,193,188,91,0
Montipora_capitata_HIv3___RNAseq.g2611.t1,3,0,5,0,4,6,0,5
Montipora_capitata_HIv3___TS.g33553.t1,0,0,0,18,16,2,41,0
Montipora_capitata_HIv3___RNAseq.g27503.t1,0,0,0,0,4,0,0,0
Montipora_capitata_HIv3___RNAseq.g509.t1,1731,2849,2248,3042,2806,927,566,2451
Montipora_capitata_HIv3___RNAseq.g23422.t1,62,171,54,11,10,7,16,169
Montipora_capitata_HIv3___RNAseq.g31714.t1,0,0,0,2,0,5,3,0
Montipora_capitata_HIv3___RNAseq.g2327.t1,0,0,1,0,6,8,2,0
Montipora_capitata_HIv3___RNAseq.g34.t1,0,2,5,5,21,20,20,2
Montipora_capitata_HIv3___RNAseq.g41721.t1,3,11,29,78,79,65,61,0
Montipora_capitata_HIv3___TS.g27083.t1,2399,3287,2578,5261,5031,2091,1322,3217
Montipora_capitata_HIv3___RNAseq.g4248.t1,0,0,4,11,5,13,31,0
Montipora_capitata_HIv3___RNAseq.g33810.t1,0,4,7,8,16,51,6,0
Montipora_capitata_HIv3___TS.g22268.t4,287,471,96,84,88,252,238,450
Montipora_capitata_HIv3___RNAseq.g14757.t1,528,1680,246,189,227,351,209,828
Montipora_capitata_HIv3___RNAseq.g30286.t1,0,0,0,24,10,21,2,0
Montipora_capitata_HIv3___TS.g32517.t1,0,0,0,0,0,4,0,0
Montipora_capitata_HIv3___RNAseq.g20776.t1,0,27,69,87,98,57,31,1
Montipora_capitata_HIv3___RNAseq.g49504.t1,0,0,0,3,3,0,0,0
Montipora_capitata_HIv3___RNAseq.g11199.t1,1,6,9,0,0,2,0,1
Montipora_capitata_HIv3___RNAseq.g9584.t1,0,0,12,0,3,1,0,4
Montipora_capitata_HIv3___TS.g37372.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g46457.t1,62,287,229,406,221,148,109,260
Montipora_capitata_HIv3___TS.g14984.t1,0,0,14,21,13,56,11,0
Montipora_capitata_HIv3___TS.g23215.t2,709,2204,1569,3495,3043,886,458,1795
Montipora_capitata_HIv3___TS.g43357.t1,0,0,5,9,20,22,9,0
Montipora_capitata_HIv3___RNAseq.g8518.t1,0,0,3,6,3,10,5,0
Montipora_capitata_HIv3___TS.g48744.t1,6,7,28,40,37,76,109,22
Montipora_capitata_HIv3___RNAseq.g29477.t1,0,0,0,1,2,1,1,0
Montipora_capitata_HIv3___RNAseq.g14755.t1,18,0,18,36,14,14,3,11
Montipora_capitata_HIv3___RNAseq.g30284.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g3356.t1,0,2,9,27,19,17,11,8
Montipora_capitata_HIv3___RNAseq.g6847.t1,2305,4674,2938,2011,2155,1774,1449,3405
Montipora_capitata_HIv3___RNAseq.g25695.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g48951.t1,0,0,0,0,0,9,0,0
Montipora_capitata_HIv3___RNAseq.g23395.t1,478,1938,615,331,296,506,272,1162
Montipora_capitata_HIv3___TS.g33501.t1,0,2,5,17,8,12,0,0
Montipora_capitata_HIv3___RNAseq.g4507.t1,0,6,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g8375.t1,0,3,2,2,5,4,4,0
Montipora_capitata_HIv3___RNAseq.g8368.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g13870.t1,95,179,125,94,40,73,482,265
Montipora_capitata_HIv3___RNAseq.g36857.t1,29,10,74,193,296,336,477,33
Montipora_capitata_HIv3___RNAseq.g38048.t1,0,23,25,41,67,27,9,0
Montipora_capitata_HIv3___TS.g40070.t1a,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g32646.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g40070.t1c,0,4,0,3,1,0,12,0
Montipora_capitata_HIv3___RNAseq.g49498.t1,735,2026,294,308,364,298,266,1181
Montipora_capitata_HIv3___RNAseq.g28457.t1,322,1181,1100,6521,6994,3785,2795,810
Montipora_capitata_HIv3___RNAseq.g28485.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g524.t1,206,470,70,480,590,441,249,578
Montipora_capitata_HIv3___RNAseq.g31360.t1,0,0,0,0,0,4,0,0
Montipora_capitata_HIv3___RNAseq.g41955.t1a,0,29,0,0,0,25,19,12
Montipora_capitata_HIv3___RNAseq.g16837.t1,0,0,0,0,0,7,5,0
Montipora_capitata_HIv3___RNAseq.g6399.t1,241,740,432,1108,1274,945,632,469
Montipora_capitata_HIv3___RNAseq.36991_t,2735,8684,4921,9129,7850,3475,2457,8445
Montipora_capitata_HIv3___RNAseq.g18409.t1,73,181,11,44,49,117,219,145
Montipora_capitata_HIv3___RNAseq.g48520.t1,0,0,0,0,0,2,4,0
Montipora_capitata_HIv3___RNAseq.g12351.t1,0,0,0,6,0,0,1,0
Montipora_capitata_HIv3___TS.g9063.t1,3,0,0,3,0,17,6,0
Montipora_capitata_HIv3___RNAseq.g6915.t1,0,0,0,4,5,7,8,0
Montipora_capitata_HIv3___RNAseq.g20774.t1,833,1773,1325,3712,3580,1480,966,1532
Montipora_capitata_HIv3___RNAseq.g47730.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g9809.t1,0,0,1,2,2,3,2,0
Montipora_capitata_HIv3___RNAseq.g11609.t1,0,0,8,0,2,1,3,0
Montipora_capitata_HIv3___RNAseq.g35942.t1,0,3,0,5,6,0,2,0
Montipora_capitata_HIv3___RNAseq.g20462.t1,606,1824,2420,11139,9776,3894,2157,1153
Montipora_capitata_HIv3___TS.g16289.t1,0,0,33,71,35,37,15,0
Montipora_capitata_HIv3___RNAseq.g31005.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g18801.t1,0,0,0,11,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g49391.t1,0,16,8,16,15,5,28,10
Montipora_capitata_HIv3___RNAseq.g49216.t1,1151,3240,1358,401,472,1161,1192,1933
Montipora_capitata_HIv3___TS.g10747.t1,0,0,0,0,0,2,0,2
Montipora_capitata_HIv3___RNAseq.g8771.t1,1097,3846,4648,18736,17122,5913,3234,2203
Montipora_capitata_HIv3___TS.g45731.t1,2,7,6,10,21,13,16,7
Montipora_capitata_HIv3___RNAseq.g44558.t1,0,9,22,91,159,708,316,0
Montipora_capitata_HIv3___RNAseq.g12599.t1,0,0,0,13,4,5,7,0
Montipora_capitata_HIv3___TS.g26055.t1,35,60,14,18,17,22,23,48
Montipora_capitata_HIv3___RNAseq.g35839.t1,0,0,0,6,0,3,0,0
Montipora_capitata_HIv3___RNAseq.g47732.t1,0,3,0,0,0,10,2,0
Montipora_capitata_HIv3___RNAseq.g38848.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g11613.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g28455.t1,92,319,203,284,210,102,167,208
Montipora_capitata_HIv3___RNAseq.g34210.t1,126,295,94,367,482,215,116,198
Montipora_capitata_HIv3___TS.g3691.t3a,1835,4620,3324,7218,6590,4276,3632,4147
Montipora_capitata_HIv3___RNAseq.g21772.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g45265.t1,551,1166,364,737,640,282,163,1000
Montipora_capitata_HIv3___RNAseq.g526.t1,0,0,0,17,31,220,1082,0
Montipora_capitata_HIv3___RNAseq.g28487.t1,0,0,0,0,0,3,0,0
Montipora_capitata_HIv3___TS.g13378.t1,0,0,0,3,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g35211.t1,29,58,151,1849,2100,2069,1223,62
Montipora_capitata_HIv3___RNAseq.g49458.t1,3,15,35,108,91,68,36,0
Montipora_capitata_HIv3___RNAseq.g6639.t1,712,1823,977,2145,1895,1012,616,1440
Montipora_capitata_HIv3___RNAseq.g11764.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g31699.t1,0,0,0,3,0,0,0,0
Montipora_capitata_HIv3___TS.g19001.t2,2272,3187,1807,4105,3668,1932,983,3343
Montipora_capitata_HIv3___RNAseq.g2455.t1b,1444,3027,1566,2196,2331,1364,632,2726
Montipora_capitata_HIv3___RNAseq.g2455.t1a,0,7,14,23,14,21,1,2
Montipora_capitata_HIv3___RNAseq.g50559.t1a,7,28,15,3,2,7,3,37
Montipora_capitata_HIv3___RNAseq.g18424.t1,757,2817,1854,2652,1720,1385,1289,1816
Montipora_capitata_HIv3___RNAseq.g34009.t1,0,1,0,0,0,1,0,0
Montipora_capitata_HIv3___TS.g40074.t1,0,0,0,18,0,28,353,0
Montipora_capitata_HIv3___RNAseq.g511.t1,0,4,6,6,4,7,7,0
Montipora_capitata_HIv3___TS.g18559.t2,2504,4660,2041,4290,4647,3172,2331,5352
Montipora_capitata_HIv3___TS.g45824.t1a,0,0,5,0,0,14,269,0
Montipora_capitata_HIv3___TS.g45824.t1b,3,3,0,19,0,50,234,0
Montipora_capitata_HIv3___RNAseq.g46016.t1,21,34,22,45,42,53,83,19
Montipora_capitata_HIv3___RNAseq.g12353.t1,0,18,4,32,84,50,43,18
Montipora_capitata_HIv3___TS.g15034.t1,74,96,72,80,107,181,289,206
Montipora_capitata_HIv3___TS.g4616.t1,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g17412.t1,0,5,0,12,16,35,0,0
Montipora_capitata_HIv3___RNAseq.g21217.t1,0,3,0,0,4,15,0,0
Montipora_capitata_HIv3___RNAseq.g32549.t1,0,0,1,0,0,0,2,0
Montipora_capitata_HIv3___TS.g19796.t1,8,6,18,11,29,45,44,0
Montipora_capitata_HIv3___RNAseq.g274.t1,0,0,0,3,9,13,3,2
Montipora_capitata_HIv3___RNAseq.g35668.t1,0,0,0,0,12,0,1,0
Montipora_capitata_HIv3___RNAseq.g35625.t1,444,1348,163,724,742,681,512,963
Montipora_capitata_HIv3___TS.g46596.t1,0,0,0,7,33,21,14,0
Montipora_capitata_HIv3___RNAseq.g47083.t1,1836,3454,1212,3355,2925,2636,2393,3091
Montipora_capitata_HIv3___RNAseq.g7616.t1,0,12,7,2,4,5,3,0
Montipora_capitata_HIv3___RNAseq.g43364.t1,0,6,0,6,6,2,0,0
Montipora_capitata_HIv3___RNAseq.g8773.t1,67,110,24,32,60,192,165,193
Montipora_capitata_HIv3___TS.g47900.t1,164,561,262,353,361,348,201,423
Montipora_capitata_HIv3___RNAseq.g33246.t1,0,0,27,33,16,6,12,0
Montipora_capitata_HIv3___TS.g3920.t1,4,4,1,5,6,3,5,6
Montipora_capitata_HIv3___RNAseq.g44432.t1,327,820,450,776,877,781,538,645
Montipora_capitata_HIv3___RNAseq.g178.t1,0,12,11,13,21,56,13,0
Montipora_capitata_HIv3___TS.g4614.t1,0,0,5,2,7,3,7,0
Montipora_capitata_HIv3___RNAseq.g34980.t1,0,0,0,3,0,2,2,0
Montipora_capitata_HIv3___RNAseq.g25531.t1,0,0,5,12,13,14,24,0
Montipora_capitata_HIv3___RNAseq.g6583.t1,819,1496,736,925,670,388,93,943
Montipora_capitata_HIv3___RNAseq.g10379.t1,0,2,0,10,3,15,14,0
Montipora_capitata_HIv3___RNAseq.g21679.t1,0,0,0,0,3,4,0,0
Montipora_capitata_HIv3___RNAseq.g42269.t1,0,0,0,7,16,0,0,0
Montipora_capitata_HIv3___RNAseq.g48495.t1,0,0,0,9,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g30788.t1,12,0,0,38,33,11,28,3
Montipora_capitata_HIv3___RNAseq.g13324.t1,0,0,0,4,0,1,0,0
Montipora_capitata_HIv3___RNAseq.g18426.t1,13,21,8,71,101,80,101,21
