"","MEcyan","MEsalmon","MEgreenyellow","MEblack","MEbrown","MEdarkturquoise","MEdarkgreen","MElightcyan","MEdarkorange","MEmidnightblue","MEdarkred","MElightgreen","MEskyblue","MEgrey60","MEyellow","MEwhite","MEdarkgrey","MElightyellow"
"M62",0.199543137726036,0.14552169899878,-0.0055038905458338,-0.0603729505767476,0.202638964154649,-0.249306071306065,-0.062755513236948,0.0871451457541587,-0.0496155836810206,-0.261343573319287,0.138892450126974,-0.050285562997095,0.0498887709142346,-0.139805636375013,-0.197625293174742,-0.212976219179332,-0.0464723979996382,0.00170592343175549
"M63",0.109416939841118,0.0114506616840529,0.410402057236341,0.0688159668129491,0.154763953303829,-0.208246528997018,-0.00149177271754793,0.172379656113997,0.0191172962645562,-0.152208434353646,0.0151712217382719,-0.0442039019691896,0.105104267600535,-0.169319459678667,-0.10585973201436,-0.228013590840622,-0.00880811580888488,-0.137711879998121
"M72",0.08473342191212,-0.03153157425209,0.0363079375563195,0.16213239918072,0.218375682718695,0.118231907173212,0.161527199758424,0.0447913563081106,-0.0745729843672465,-0.0628153575363976,-0.171304382356143,-0.242008167306226,-0.216785635207357,-0.212679254305261,-0.191589054795544,-0.0832282464410461,-0.126691290231435,-0.122288997761993
"M73",0.0649342679688343,-0.0538466417906698,0.132318122845718,0.128929732067539,0.203333474081878,0.0425751330977332,0.146351778139812,0.0577703781723393,-0.0715048790687141,-0.0752629285292449,-0.151308267497696,-0.225645286378588,-0.0796824818350468,-0.228888378597559,-0.180192821268064,-0.10759249517133,-0.0994655204284774,-0.168252564833744
"M74",0.0588711974997619,-0.0535515312621152,0.0667303412880896,0.118760100384721,0.199834085790878,0.0416328141268662,0.161078057782538,0.0777856727466584,-0.0453889243765969,-0.0721800133257631,-0.135838553359834,-0.200492674061625,-0.0384484272066643,-0.218254717151998,-0.176030362199856,-0.116139675170953,-0.122239193991647,-0.154664402016444
"M75",0.0657493088646775,-0.0408145895119246,0.113159698725151,0.123510402159712,0.217819758793912,0.0270903702171235,0.131477772123161,0.0966195990913787,-0.0439057322595678,-0.0951284415551184,-0.103748157734724,-0.221201571121844,-0.00361775484176617,-0.240411830610931,-0.191161886053439,-0.103613132787086,-0.10276262612487,-0.18280124103943
"M85",0.0238657982679942,-0.129596430979029,0.0462842553395869,0.39681373951812,0.193014118478424,0.348491275694261,0.229660182074244,0.0456624596986612,-0.0910485285614373,0.0672919652734286,-0.30260047867691,-0.293844930123515,-0.254559935249351,-0.233578840092381,-0.177333357101624,-0.0444196262665258,-0.129709980435231,-0.192261207759911
"M86",0.00606545185985635,-0.144852608876502,0.0541488150914354,0.412098405633782,0.182053604444535,0.346167910034765,0.240331713358121,0.0587159331018681,-0.0835349319946571,0.085671273696898,-0.309055760106584,-0.297071913541697,-0.228588362421894,-0.24621740735684,-0.173135899629181,-0.0315061422183751,-0.144542626873963,-0.207067835240814
"M87",0.0305001101640747,-0.119161250094382,0.0345907308451335,0.340226648641709,0.191924688751934,0.31671239685447,0.230764716912495,0.0367177461466739,-0.0957199646060809,0.0421331894971373,-0.26948321367685,-0.291160336135528,-0.225740300465407,-0.232595425384982,-0.182121014299716,-0.0684622234780661,-0.131256787408502,-0.186735866770723
"M88",0.0180765546856244,-0.132616736181589,0.0118112325157607,0.381713453402666,0.187217774146026,0.365058813113736,0.247782619748613,0.0612063955063247,-0.0819941618134314,0.0698981793475529,-0.28841008923288,-0.283172947236585,-0.204696311709221,-0.241639457114052,-0.181046365448896,-0.0391967411478735,-0.133051663394265,-0.201346565431097
