"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"Montipora_capitata_HIv3___TS.g1414.t2",5.45633240985598,6.31346619757068,2.2820712821617,2.76655082903029,0.0056652752451978,0.0155004882876964,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g44664.t1",11.8989091421122,6.20889139478065,2.02406965965736,3.06752851373293,0.00215836867845942,0.00670697967275538,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g37596.t1",8.68703423820048,3.12592843317,0.913616775649358,3.42148756074256,0.000622795738624377,0.00220801087370646,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g15736.t1",14.0409931534818,-3.00213104341765,1.17078102084955,-2.56421225656634,0.0103410283547536,0.0261812568306049,"Up at 1 hpf"
"Montipora_capitata_HIv3___TS.g25497.t1",4.40767964430112,-6.11968341341003,1.53405867903093,-3.98921077600228,6.62934958521436e-05,0.000297197894861976,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g5012.t1",66.1787155802147,7.92384015080775,0.835248693536355,9.4868034061317,2.38227572583822e-21,1.50425920178582e-19,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g45363.t1",22.9981968660231,6.91423738206256,1.82902515358094,3.78028556279041,0.000156648587341972,0.000645365459407586,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g49502.t1",6.60658812733982,-5.6006198026537,2.07885179218718,-2.69409287554898,0.00705804943890648,0.0187174898790215,"Up at 1 hpf"
"Montipora_capitata_HIv3___TS.g36892.t2",13.0342409699156,4.7311602867773,1.31585165509794,3.59551190170076,0.000323754325622112,0.00123676968755841,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g41567.t1",67.1939718869408,4.91977069650822,0.915825706115385,5.37195086756865,7.78893339204946e-08,6.26551919238882e-07,"Up at 72 hpf"
"Montipora_capitata_HIv3___TS.g21226.t3",10.2038558428345,7.59687673132451,1.7900459638317,4.24395623622029,2.19613199852723e-05,0.000108692782980387,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g35148.t1",30.0728044729241,7.90098038827791,1.08485046222477,7.28301333999051,3.26444933383564e-13,6.57038437795545e-12,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g35134.t1",31.7193759070489,4.63528393077427,0.927569812408681,4.99723456797017,5.81583088915937e-07,3.89104863020559e-06,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g21629.t1",487.651734771891,12.6286673039372,1.26968154313587,9.94632659835851,2.61664095598827e-23,2.17925588584506e-21,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g27594.t1",18.1417377606258,9.19357823183333,1.53296480399586,5.99725330149079,2.00682903303887e-09,2.17110585534026e-08,"Up at 72 hpf"
"Montipora_capitata_HIv3___RNAseq.g41751.t1",11.4077163817258,8.19959324948997,1.97015565714595,4.16190122833658,3.15608867286964e-05,0.000150796106175042,"Up at 72 hpf"
