"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"Montipora_capitata_HIv3___RNAseq.g46414.t1",15.1569311712865,4.03126509480511,0.956758317127074,47.53282037228,4.39342916333018e-08,9.36988329175461e-08,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g8869.t1",28.5759599640541,5.38135378788429,0.712892945382431,118.334723016674,1.70213386196704e-22,7.187691932773e-22,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g24503.t1",22.9575294407919,2.54975013084128,1.02245065549341,34.9209595901918,1.15735296266282e-05,2.03621721352012e-05,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.13416_t",19.4548744164541,8.82613167212001,1.19758358843935,93.0322014355343,2.9457977765571e-17,1.0169633864401e-16,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g28904.t1",15.289624493723,3.33547355358027,1.12691497715675,18.7706695817991,0.00893691715750029,0.0115648852024376,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g35271.t1",1554.82330618823,7.3748903415886,0.407209418950984,400.44102182691,1.91849866157274e-82,4.34675703749961e-81,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g37217.t1",47.266541086844,2.07377060785268,0.725553950421692,66.7396303704679,6.71793111659887e-12,1.80455756379037e-11,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g41451.t1",817.152934264382,1.52167405639311,0.224478517907489,151.379093918271,2.08377427241045e-29,1.1210290061895e-28,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g21395.t1",68.0633605797715,3.97829850030452,0.558708196515241,148.959415525589,6.7145475695844e-29,3.55131189934617e-28,"Up at 22 hpf"
"Montipora_capitata_HIv3___TS.g2243.t1",21.0746030698262,7.98051274556067,1.29295661890618,86.2818656628338,7.16274232703023e-16,2.32302786267453e-15,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g32062.t1",5.03907413429627,6.48836515419334,1.92226700448358,17.8575600918926,0.0126294602795076,0.0160181336422763,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g26747.t1",102.450767001002,1.0061185036971,0.407393867797995,19.3911083451658,0.00704652527803391,0.00923883395698484,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g5921.t1",8.28234622522061,7.37617701135306,1.67378107269875,40.5567409936233,9.84707940530781e-07,1.90286744019401e-06,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g20473.t1",516.675668580627,1.21813077149316,0.185055988521658,278.944312095981,1.8856149997205e-56,2.14781721058859e-55,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g48837.t1",118.300034075964,-1.64482060844858,0.292678591675413,122.001475182143,2.93322320953885e-23,1.27313160518894e-22,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g50286.t1",370.335486683624,-1.35358836992568,0.231592319321519,83.7273052800038,2.38748021247126e-15,7.56377198551432e-15,"Up at 1 hpf"
"Montipora_capitata_HIv3___RNAseq.g11139.t1",13.0953844753578,8.63210078940862,1.84440659241348,20.3729357949123,0.00481804547661107,0.00644522248987727,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g2361.t1",13.1041046466743,7.82875144454799,1.33481176274321,64.4575846991486,1.93271421530439e-11,5.05915857437104e-11,"Up at 22 hpf"
"Montipora_capitata_HIv3___RNAseq.g31752.t1",4288.93497610257,2.29050381062767,0.243241302505502,225.307999219164,4.92536506052529e-45,4.22835479577269e-44,"Up at 22 hpf"
"Montipora_capitata_HIv3___TS.g6527.t1",12.0754802477252,8.48996593521759,2.05251233746666,16.411134927781,0.0216144431040631,0.0265629098115941,"Up at 22 hpf"
"Montipora_capitata_HIv3___TS.g10997.t1",9.42045623151851,7.25644098690212,1.67080049921599,24.1887658069083,0.00105548220302837,0.00152858417166049,"Up at 22 hpf"
